All-Time Rank,Title,All-Time Revenue (USD),All-Time Sales,All-Time Avg Price,Past Year Revenue (USD),Past Year Sales,Past Year Avg Price,Past Year Rank
1,Moonlight Sonata Nightmare - PDF,4153.58,511,8.13,652.78,81,8.06,1
2,Fur Elise Nightmare - PDF,2873.01,405,7.09,535.42,75,7.14,2
3,5 Levels Still Dre - PDF,2170.26,352,6.17,412.99,66,6.26,3
4,5 Levels Beethoven Virus - PDF,1293.05,211,6.13,289.75,46,6.30,4
5,Lycoris Radiata (MusicalBasics Version) - PDF,813.77,115,7.08,95.68,13,7.36,15
6,5th Symphony Nightmare - PDF,802.54,112,7.17,153.96,21,7.33,6
7,Moonlight Sonata Nightmare - MIDI,716.24,78,9.18,119.12,13,9.16,7
8,Moonlight Sonata Nightmare,645.92,81,7.97,0.00,0,0.00,N/A
9,Fight For Freedom,637.82,90,7.09,111.60,16,6.98,10
10,5 Levels Canon in D - PDF,612.81,101,6.07,158.65,26,6.10,5
11,Canon in Dream,597.88,84,7.12,66.88,9,7.43,19
12,Winter Fantasy - PDF,538.45,60,8.97,89.96,10,9.00,16
13,Fires of a Revolution - PDF,486.83,54,9.02,116.53,13,8.96,8
14,The Gentle Zephyr - PDF,460.36,66,6.98,96.77,14,6.91,14
15,Fur Elise Nightmare,452.23,64,7.07,0.00,0,0.00,N/A
16,Pachelbel's Nightmare,448.65,44,10.20,102.65,10,10.27,12
17,Epic Canon in D,432.55,43,10.06,111.25,11,10.11,11
18,Living In The Shadows,417.49,52,8.03,113.18,14,8.08,9
19,Four Seasons Nightmare,416.22,52,8.00,56.91,7,8.13,22
20,La Campanella Nightmare,353.52,50,7.07,67.09,9,7.45,18
21,5th Level Fur Elise,311.88,51,6.12,43.37,7,6.20,26
22,The Black Star,307.30,38,8.09,72.03,9,8.00,17
23,Rolling Thunder,306.90,44,6.97,34.73,5,6.95,32
24,Moonlight Sonata Level 5,303.08,50,6.06,43.56,7,6.22,25
25,Fur Elise Nightmare - MIDI,300.40,37,8.12,65.63,8,8.20,20
26,Kintab - PDF,282.50,47,6.01,42.07,7,6.01,27
27,First Kiss - PDF,270.01,38,7.11,27.73,4,6.93,38
28,Passacaglia Dream,267.86,44,6.09,24.47,4,6.12,40
29,Colors of the Soul - PDF,252.95,36,7.03,55.20,8,6.90,23
30,5 Levels Still Dre,217.66,37,5.88,0.00,0,0.00,N/A
31,5th Level Turkish March - PDF,210.75,35,6.02,36.34,6,6.06,30
32,Lycoris Radiata (MusicalBasics Version),203.58,29,7.02,0.00,0,0.00,N/A
33,Vengeance - PDF,191.28,27,7.08,27.98,4,6.99,36
34,5th Symphony Nightmare,171.79,24,7.16,0.00,0,0.00,N/A
35,Epic Prelude in C Sharp Minor,165.59,20,8.28,17.06,2,8.53,51
36,Arrival of the Hero,157.55,23,6.85,8.06,1,8.06,63
37,What Could Have Been - PDF,156.84,22,7.13,28.55,4,7.14,35
38,5th Level Revolutionary Etude,155.76,26,5.99,23.69,4,5.92,42
39,5th Level The Force Theme,152.88,22,6.95,27.70,4,6.93,39
40,A Single Tarot Card - PDF,152.06,15,10.14,19.80,2,9.90,47
41,Rach Prelude Mix,148.35,24,6.18,0.00,0,0.00,N/A
42,Broken Dreams,146.86,24,6.12,19.93,3,6.64,46
43,5 Levels Beethoven Virus,142.20,24,5.93,0.00,0,0.00,N/A
44,Gallop Piano Solo - PDF,132.40,19,6.97,34.79,5,6.96,31
45,5 Levels Beethoven Virus - MIDI,132.05,18,7.34,29.12,4,7.28,34
46,5th Symphony Nightmare - MIDI,121.66,17,7.16,27.93,4,6.98,37
47,5th Level Coffin Dance,117.49,20,5.87,17.79,3,5.93,49
48,Gallop Piano Solo,114.33,16,7.15,0.00,0,0.00,N/A
49,Am Anfang,113.51,16,7.09,22.94,3,7.65,43
50,Waltz of the Rising Star,113.18,16,7.07,22.29,3,7.43,44
51,El Aela,103.31,15,6.89,20.70,3,6.90,45
52,5th Level Megalovania,100.61,17,5.92,17.79,3,5.93,48
53,Heart of the Warrior,97.69,14,6.98,97.69,14,6.98,13
54,Dreams of a Lonely Child,97.21,16,6.08,12.45,2,6.22,58
55,The Cursed Path,96.54,12,8.05,47.40,6,7.90,24
56,5 Levels Canon in D,96.38,16,6.02,0.00,0,0.00,N/A
57,Epic Hall of the Mountain King,93.13,13,7.16,6.90,1,6.90,71
58,Winter Fantasy,92.10,10,9.21,0.00,0,0.00,N/A
59,Lycoris Radiata (MusicalBasics Version) - MIDI,87.85,11,7.99,24.00,3,8.00,41
60,Total Isolation,86.17,14,6.16,12.75,2,6.38,57
61,Fires of a Revolution,78.87,9,8.76,0.00,0,0.00,N/A
62,The Gentle Zephyr,76.56,11,6.96,0.00,0,0.00,N/A
63,5 Levels Squid Game,76.49,13,5.88,17.79,3,5.93,50
64,Old MacDonald Had An Empire,74.30,12,6.19,0.00,0,0.00,N/A
65,Imprisoned Soul,71.20,8,8.90,8.90,1,8.90,61
66,Saudade,68.64,11,6.24,0.00,0,0.00,N/A
67,Epic Fur Elise,65.02,8,8.13,65.02,8,8.13,21
68,Endless Love,63.90,9,7.10,13.80,2,6.90,56
69,Awakening,59.83,9,6.65,6.90,1,6.90,70
70,The Gentle Zephyr - MIDI,57.36,7,8.19,7.90,1,7.90,64
71,Colors of the Soul - MIDI,57.26,7,8.18,15.80,2,7.90,53
72,Kintab,53.15,9,5.91,0.00,0,0.00,N/A
73,Fires of a Revolution - MIDI,51.70,5,10.34,9.90,1,9.90,60
74,Wahn,49.04,6,8.17,0.00,0,0.00,N/A
75,What Could Have Been - MIDI,48.93,6,8.15,15.80,2,7.90,52
76,In My World,48.02,8,6.00,0.00,0,0.00,N/A
77,The New Dawn,42.06,6,7.01,0.00,0,0.00,N/A
78,First Kiss - MIDI,41.54,5,8.31,7.90,1,7.90,66
79,For Beethoven,39.92,5,7.98,39.92,5,7.98,28
80,Eternal Hope,36.76,5,7.35,36.76,5,7.35,29
81,First Kiss,36.33,5,7.27,0.00,0,0.00,N/A
82,The Arched Window,35.95,6,5.99,5.90,1,5.90,73
83,Clouds,35.33,5,7.07,0.00,0,0.00,N/A
84,Waltz of the Living Night,34.95,7,4.99,0.00,0,0.00,N/A
85,A Single Tarot Card - MIDI,34.19,3,11.40,34.19,3,11.40,33
86,Gallop Piano Solo - MIDI,32.13,4,8.03,7.90,1,7.90,67
87,End of Days - MIDI,31.60,4,7.90,7.90,1,7.90,65
88,See You In Another Life,30.21,5,6.04,5.90,1,5.90,74
89,5th Level Turkish March - MIDI,28.90,4,7.23,6.90,1,6.90,72
90,Dreams of a Violin,28.86,4,7.21,8.16,1,8.16,62
91,Before Its Too Late,28.30,4,7.07,0.00,0,0.00,N/A
92,End of Days - PDF,28.00,4,7.00,0.00,0,0.00,N/A
93,Never Surrender,27.60,4,6.90,0.00,0,0.00,N/A
94,Colors of the Soul,27.60,4,6.90,0.00,0,0.00,N/A
95,Just Need You To Hold Me,25.24,4,6.31,0.00,0,0.00,N/A
96,Homesick Lullaby - PDF,23.73,4,5.93,0.00,0,0.00,N/A
97,Vengeance - MIDI,23.70,3,7.90,0.00,0,0.00,N/A
98,10 Levels Faded,23.64,4,5.91,6.94,1,6.94,69
99,Tingin,23.61,4,5.90,0.00,0,0.00,N/A
100,The Peace of Winter,23.60,4,5.90,11.80,2,5.90,59
101,Kintab - MIDI,20.80,3,6.93,7.00,1,7.00,68
102,Breakthrough,18.98,3,6.33,0.00,0,0.00,N/A
103,Homesick Lullaby - MIDI,17.83,3,5.94,5.90,1,5.90,77
104,Tranquility At Last,17.70,3,5.90,0.00,0,0.00,N/A
105,Lair of the Dragon,17.70,3,5.90,0.00,0,0.00,N/A
106,Appassionata Rewritten,14.97,2,7.49,14.97,2,7.49,54
107,The Window,14.22,2,7.11,0.00,0,0.00,N/A
108,Light of the Crystal,13.80,2,6.90,13.80,2,6.90,55
109,Yume,13.80,2,6.90,0.00,0,0.00,N/A
110,Vengeance,13.80,2,6.90,0.00,0,0.00,N/A
111,Frozen Bells,12.80,2,6.40,0.00,0,0.00,N/A
112,Courage,11.80,2,5.90,5.90,1,5.90,75
113,5th Level Turkish March,11.80,2,5.90,0.00,0,0.00,N/A
114,A Single Tarot Card,10.32,1,10.32,0.00,0,0.00,N/A
115,Vindicta,10.02,2,5.01,0.00,0,0.00,N/A
116,Fur Elise Nightmare - PRINT,8.90,1,8.90,0.00,0,0.00,N/A
117,Dark Waldstein,8.55,1,8.55,0.00,0,0.00,N/A
118,The Last Rite,7.90,1,7.90,0.00,0,0.00,N/A
119,End of Days,7.47,1,7.47,0.00,0,0.00,N/A
120,What Could Have Been,7.46,1,7.46,0.00,0,0.00,N/A
121,Angels Light,6.90,1,6.90,0.00,0,0.00,N/A
122,Music of Silence,6.90,1,6.90,0.00,0,0.00,N/A
123,What Could Have Been EDM,5.99,1,5.99,0.00,0,0.00,N/A
124,Night Moon Rising,5.90,1,5.90,5.90,1,5.90,76
125,Too Late,5.90,1,5.90,0.00,0,0.00,N/A
126,Homesick Lullaby,5.90,1,5.90,0.00,0,0.00,N/A
127,Awakening by Lionel Yu,5.90,1,5.90,0.00,0,0.00,N/A
